ID_EVENEMENT,NOM_EVENEMENT,TYPE_EVENEMENT,EVENEMENT_ENVERGURE,NOM_ZONE,NOM_SPOT_A1S,DATE,TYPES_MILIEUX,REGION,DEPARTEMENT,NIVEAU_CARAC,NOM_VILLE,CODE_POSTAL,NOM_STRUCTURE,ID_STRUCTURE,COORD_GPS_X,COORD_GPS_Y
3464,Cleanwalk à Toulouse,Ramassage,,,,2024-04-27,"Zone urbaine/Route, rue, place/Présent au sol (abandonné)",Occitanie,Haute-Garonne,2,Toulouse,31000,Cleanwalker Toulouse,748,1.4358240363526,43.610577467027
3463,Ramassage collège Sacré Coeur Aix-en-Provence,Ramassage,,,,2024-03-12,Zone urbaine/Parc urbain - Jardin public/Présent au sol (abandonné),Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Aix-en-Provence,13626,Le Naturoscope,10,5.4568544625909,43.531501471356
3462,Nettoyons le Sud à l'Escale Borely,Ramassage,Nettoyons le Sud,,,2024-04-13,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13008,1 déchet par jour,88,5.3752756099129,43.25501780853
3461,Ramassage à l'Anse de Malmousque,Ramassage,,,,2024-03-23,Littoral (terrestre)/Digue et ouvrage/Présent au sol (abandonné) et échoué;Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13007,1 déchet par jour,88,5.3478205199099,43.28060304739
3460,Ramassage sur l'ATE,Ramassage,,,,2024-02-29,Zone naturelle ou rurale (hors littoral et montagne)/Champ - prairie - lande - garrigue - maquis/Présent au sol (abandonné),Occitanie,Hérault,2,Agde,34300,Ecole Notre-Dame,744,3.5163035988808,43.297570894043
3459,Grand Ramassage de Plage Inter-Pays du Printemps,Ramassage,,Plage de Sainte Barbe,,2024-03-24,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Bretagne,Morbihan,2,Plouharnel,56340,Les Mains Dans Le Sable,275,-3.1505880353507,47.598964298015
3458,Grand ramassage de déchets marins,Ramassage,,rendez-vous sur la pelouse face à la chapelle des marins,,2024-03-17,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Hauts de France,Somme,1,Cayeux-sur-Mer,80410,SOS laisse de mer,81,1.4964607357979,50.184948914522
3457,2024-010 RECOLTE DECHETS SAUVAGES - PLAGE REPUBLQIUE,Ramassage,,,République,2024-03-13,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83700,Planète Actions,348,6.7565515637398,43.424423534892
3456,Action Ramassage Ecocitoyenne à Sernhac 2024,Ramassage,,,,2024-02-25,Zone naturelle ou rurale (hors littoral et montagne)/Champ - prairie - lande - garrigue - maquis/Présent au sol (abandonné),Occitanie,Gard,2,Sernhac,30210,Des Pousses & Des Pierres,617,4.55969363451,43.910760734379
3455,Nettoyage de plage,Ramassage,,,,2024-03-17,Littoral (terrestre)/Digue et ouvrage/Présent au sol (abandonné) et échoué,Nouvelle Aquitaine,Charente-Maritime,2,Ronce-les-Bains,17390,Les Insurgés des déchets,408,-1.1645641922951,45.799240739954
3454,Nettoyons le Sud,Ramassage,Nettoyons le Sud,,,2024-04-13,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,1,Carry-le-Rouet,13620,Planète Perles,77,5.1511153578758,43.328375357117
3453,Nettoyons le Sud,Ramassage,Nettoyons le Sud,,,2024-04-13,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,1,Sausset-les-Pins,13960,Planète Perles,77,5.1128455996513,43.329171350911
3452,Cleanup Chemin des vignes,Ramassage,,,Chemin des Vignes - Baraque dels Baques,2024-03-09,Zone naturelle ou rurale (hors littoral et montagne)/Sentier et chemin/Présent au sol (abandonné),Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1651580803575,42.442036470024
3451,SORTIE SITE PLAGE DE PEYREFITE COL REYDERIS,Ramassage,,COLLECTE SUR NOUVEAU SITE AVEC LES 2 REMORQUES DOUBLES ESSIEUX,"Chemin du littoral, de la plage de Peyrefite au col du cap Rédéris",2024-03-09,Littoral (terrestre)/Sentier et chemin/Présent au sol (abandonné),Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.165416479078,42.441835753919
3450,ramassage déchet marin Eoube N+1,Ramassage,,,Calanque de l'Eoube,2024-02-09,Littoral (terrestre)/Rocher et crique/Présent au sol (abandonné) et échoué,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,3,Marseille,13002,Notre Dame de France,470,5.3741490840912,43.294612267297
