ID_EVENEMENT,NOM_EVENEMENT,TYPE_EVENEMENT,EVENEMENT_ENVERGURE,NOM_ZONE,NOM_SPOT_A1S,DATE,TYPES_MILIEUX,REGION,DEPARTEMENT,NIVEAU_CARAC,NOM_VILLE,CODE_POSTAL,NOM_STRUCTURE,ID_STRUCTURE,COORD_GPS_X,COORD_GPS_Y
3449,CLEANUP ROUTE DES CRÊTES CERBÈRE,Ramassage,World Cleanup Day,,"Route des crètes, de cerbère à banyuls",2024-03-09,Zone naturelle ou rurale (hors littoral et montagne)/Route/Présent au sol (abandonné),Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1654214859554,42.441680162814
3448,Nettoyons l’Eygoutier avant que les déchets n’arrivent à la mer !,Ramassage,World Cleanup Day,,,2024-03-30,Cours d'eau/Lit du cours d'eau (fond et/ou surface)/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Var,3,Toulon,83041,Chercheurs en herbe,36,5.9474143981606,43.119430483891
3447,test_data_for_good_niveau_2,Ramassage,,,,2024-02-28,Montagne/Champ et prairie/Présent au sol (abandonné);Zone naturelle ou rurale (hors littoral et montagne)/Sentier et chemin/Présent au sol (abandonné);Lagune et étang côtier/Plan d'eau (fond et/ou surface)/Flottant;Cours d'eau/Berge naturelle (hors plage)/Présent au sol (abandonné),Auvergne Rhône Alpes,Isère,4,Saint-Christophe La Grotte,38380,Data For Good,746,5.7641597092152,45.437265193003
3060,Ramassage du CPIE Bastia U Marinu,Ramassage,,,Nord embouchure Golo,2024-01-27,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Corse,Haute-Corse,4,Venzolasca,20215,CPIE Bastia - U marinu,350,9.5278930716449,42.510313474127
3059,Ramassage du CPIE Bastia U marinu,Ramassage,,,Nord embouchure Golo,2023-10-27,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Corse,Haute-Corse,4,Castellare-di-Casinca,20213,CPIE Bastia - U marinu,350,9.5269775163615,42.493945331847
3058,Ramassage du CPIE Bastia U marinu,Ramassage,,,Nord embouchure Golo,2023-07-27,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Corse,Haute-Corse,4,Venzolasca,20215,CPIE Bastia - U marinu,350,9.5308684796328,42.523799187883
3057,Ramassage Plage Cyrnos,Ramassage,,,Plage Cyrnos,2024-03-21,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,La Ciotat,13600,Atelier Bleu - CPIE Côte Provençale,218,5.6202042102814,43.184943002298
3056,Sortie 1,Ramassage,,,"Chemin du littoral, de la plage de Peyrefite au col du cap Rédéris",2024-03-05,Littoral (terrestre)/Sentier et chemin/Présent au sol (abandonné),Occitanie,Pyrénées-Orientales,2,Banyuls-sur-Mer,66650,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1275272351922,42.485825598198
3055,Cuves Route des Cretes,Ramassage,,"Route des Crêtes,  CERBERE BANYULS","Route des crètes, de cerbère à banyuls",2024-02-29,Montagne/Route/Présent au sol (abandonné),Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1581115687732,42.44851307076
3054,Collecte bi-mensuelle Franceville plage,Ramassage,,,,2024-03-02,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Normandie,Calvados,4,Merville-Franceville-Plage,14810,Association Côte Fleurie Propre,687,-0.17578125,49.290405040377
3053,Nettoyage des plages bois et sentiers,Ramassage,,"Lieu de rendez-vous, puis on se répartit les différents lieux à nettoyer",,2024-03-10,Mer - Océan/Mer - Océan/Flottant,Pays de la Loire,Vendée,1,L'Île-d'Yeu,85350,Les NettoYEUrs du dimanche,578,-2.320808172226,46.718626940079
3051,Depollution Cuve suite feu Avril 2023,Ramassage,,Tout le secteur route des crêtes et village de Peyrefite,D219 / village de Peyrefite,2024-03-01,"Zone urbaine/Route, rue, place/Présent au sol (abandonné)",Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1599855422974,42.45609419208
3050,Adopt Piste Colorado #1,Ramassage,Montagne Zéro Déchet,,Piste Colorado,2023-09-12,Montagne/Piste de ski/Présent au sol (abandonné),Auvergne Rhône Alpes,Savoie,2,La Plagne-Tarentaise,73210,Mountain Riders,102,6.6802704334532,45.498721836575
3049,2024-009 COLLECTE DECHETS SAUVAGES - VIEUX PORT,Ramassage,,,,2024-03-06,Littoral (terrestre)/Port/Présent au sol (abandonné),Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83700,Planète Actions,348,6.7634797096252,43.424575299144
3048,2024-008 COLLECTE DECHETS SAUVAGES - PLAGE REPUBLIQUE,Ramassage,,,République,2024-02-28,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné)",Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83600,Planète Actions,348,6.7567098140717,43.424475218789
3047,2027-007 COLLECTE DECHETS SAUVAGES - BASE NATURE,Ramassage,,,,2024-02-24,Zone naturelle ou rurale (hors littoral et montagne)/Autre espace naturel/Présent au sol (abandonné),Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83600,Planète Actions,348,6.7374515533447,43.420438019525
3046,Le Brulé,Ramassage,,,Boucle de Mamode Camp au Brûlé,2024-02-25,Montagne/Forêt/Présent au sol (abandonné),Réunion,,2,Saint-Denis,97417,Rézo zoizo,689,55.434458255768,-20.944003352307
3045,2024-006 COLLECTE DECHETS SAUVAGES - PLAGE CAPITOLE,Ramassage,,,Capitole,2024-02-21,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné)",Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83700,Planète Actions,348,6.7499077320099,43.421140086361
3044,2024-005 COLLECTE DECHETS SAUVAGES - PLAGE REPUBLIQUE,Ramassage,,,République,2024-02-14,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné)",Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83700,Planète Actions,348,6.7566239833832,43.424397297231
3043,2024-004 COLLECTE DECHETS SAUVAGES - PORT SANTA LUCIA,Ramassage,,,Santa Lucia,2024-02-07,Littoral (terrestre)/Port/Présent au sol (abandonné),Région Sud Provence Alpes Côtes D'Azur,Var,2,Saint-Raphaël,83701,Planète Actions,348,6.7791974544525,43.41473424665
3042,2024-003 COLLECTE DECHETS SAUVAGES - PLAGE CAPITOLE,Ramassage,,,Capitole,2024-01-31,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné)",Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83700,Planète Actions,348,6.7500364780426,43.421140086361
3041,2024-002 COLLECTE DECHETS SAUVAGES - PLAGE REPUBLIQUE,Ramassage,,,République,2024-01-24,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné)",Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83700,Planète Actions,348,6.7565810680389,43.424366128579
3040,ADOPT Farneils #2,Ramassage,Montagne Zéro Déchet,,Farneils,2023-11-29,Montagne/Station de ski/Présent au sol (abandonné),Occitanie,Pyrénées-Orientales,2,Font-Romeu-Odeillo-Via,66120,Mountain Riders,102,2.0455169677734,42.517499014865
3039,Chasse aux déchets,Ramassage,,,Plage de Pors Mabo (Trébeurden),2024-03-01,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Bretagne,Côtes-d'Armor,1,Trébeurden,22560,CareMor,745,-3.5654735382559,48.760530384267
3038,Collecte de l'Estéron,Ramassage,,,,2024-03-17,Cours d'eau/Berge naturelle (hors plage)/Présent au sol (abandonné) et échoué,Région Sud Provence Alpes Côtes D'Azur,Alpes-Maritimes,2,Le Broc,06510,Imarinair,446,7.1812810683241,43.825595946189
3037,Rivières propres 2024 – gros cleanup sur l’embouchure de l’Huveaune !,Ramassage,Rivières Propres,,,2024-10-13,Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13008,Mer Veille,259,5.3748130828262,43.259784796271
3036,World Cleanup Day 2024 - Grand nettoyage sur Corbière !,Ramassage,World Cleanup Day,,,2024-09-21,Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13016,Mer Veille,259,5.290623509436,43.357676250134
3035,Vallon des Auffes - deuxième coup de propre de l'été !,Ramassage,,Local des Amis du Vallon des Auffes - piscine de mer du Vallon,,2024-09-01,Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13007,Mer Veille,259,5.3494898471808,43.284794254378
3034,Grand ramassage sur les Catalans !!,Ramassage,,,,2024-08-25,Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13007,Mer Veille,259,5.3555776671647,43.290283956334
3033,Grand nettoyage de la Pointe Rouge !,Ramassage,,Plagette en face du yachting club de la Pointe Rouge,,2024-07-21,Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13008,Mer Veille,259,5.368020530268,43.245017292352
3032,Coup de propre sur le Vallon des Auffes !,Ramassage,,Piscine  de mer du Vallon des Auffes,,2024-07-07,Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13007,Mer Veille,259,5.3494989867295,43.284805183072
3031,Calanques Propres 2024 ! Ramassage aquatique sur le secteur Maronaise - Les Goudes,Ramassage,Calanques Propres,Nous préciserons le lieu exact de rendez-vous dans les semaines qui précèdent l’opération.,,2024-06-01,Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13008,Mer Veille,259,5.3430159890286,43.214863412056
3030,On nettoie le Sud à Borely !!,Ramassage,Nettoyons le Sud,Autour de la grande roue,,2024-04-13,Mer - Océan/Mer - Océan/Flottant et Fond,Région Sud Provence Alpes Côtes D'Azur,,2,,,Mer Veille,259,5.3751933592957,43.254728591962
3029,Suivi MerTerre plage de la Maronaise. Janvier 2024,Ramassage,,,Plage de la Maronaise,2024-01-17,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,4,Marseille,13008,MerTerre,145,5.3429469466209,43.21478782336
3028,Chantier ramassage Houlgate,Ramassage,,.,,2024-02-15,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Normandie,Calvados,4,Houlgate,14510,Association Côte Fleurie Propre,687,-0.074329376220703,49.304401789525
3027,Collège propre - Collège Gyptis,Ramassage,,,,2024-02-16,"Zone urbaine/Route, rue, place/Présent au sol (abandonné)",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13009,Le Naturoscope,10,5.4227828986041,43.265026003885
3026,Ramassage Clean ta Berge Quai des Queyries - Wings of the Ocean x Water Life Community,Ramassage,,,,2024-02-21,Cours d'eau/Berge naturelle (hors plage)/Présent au sol (abandonné) et échoué,Nouvelle Aquitaine,Gironde,3,Bordeaux,33100,Wings of the Ocean,146,-0.5611676859083,44.849316807606
3025,Notre propre Collège - Collège Sacré coeur,Ramassage,,,,2024-02-20,Zone urbaine/Parc urbain - Jardin public/Présent au sol (abandonné),Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Aix-en-Provence,13626,Le Naturoscope,10,5.456967651844,43.531517550661
3024,Nettoyage du 21 Avil,Ramassage,,,D219 / village de Peyrefite,2024-02-21,"Littoral (terrestre)/Espace naturel en arrière plage/côte (calanques, colline …)/Présent au sol (abandonné)",Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.160085678046,42.45619136538
3023,Sortie Phare Frontière,Ramassage,,Nettoyage bas côté Route et sentier depuis le phare jusqu'à la frontière,Cerbère Sentier du littoral vers frontière,2024-02-24,"Littoral (terrestre)/Espace naturel en arrière plage/côte (calanques, colline …)/Présent au sol (abandonné)",Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1757497785293,42.440277079617
3022,SORTIEDES PLAGES,Ramassage,,,Cerbère Paddles plages,2024-02-24,Mer - Océan/Mer - Océan/Flottant et Fond,Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1670379629941,42.440807069894
3021,Adopt BUFFALO #1,Ramassage,Montagne Zéro Déchet,,Piste Buffalo,2023-09-12,Montagne/Piste de ski/Présent au sol (abandonné),Auvergne Rhône Alpes,Savoie,2,La Plagne-Tarentaise,73210,Mountain Riders,102,6.6771732783888,45.505340397088
3020,Collecte de déchets sur la plage du Mus de Loup ( La tremblade 17 ) samedi 13 avril 2024,Ramassage,,"Cette opération est ouverte à tous les volontaires, adhérents ou non de l'association. Les participants seront accueillis par des responsables du bureau de MALINE ; les règles élémentaires de sécurité pour les bénévoles et de prévention des éléments de biodiversité ( laisse de mer notamment ) seront rappelées.",,2024-04-13,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Nouvelle Aquitaine,Charente-Maritime,2,Ronce-les-Bains,17390,"MALINE (Mouvement d'Actions pour le Littoral, la Nature et l'Environnement)",740,-1.1495518684387,45.798003722985
3019,Nettoyage de  la plage du Couchant,Ramassage,,Plage du couchant à la Grande Motte,,2024-05-06,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Occitanie,Hérault,1,La Grande-Motte,34280,LABELBLEU,147,4.0609384775325,43.557920832803
3018,Nettoyage de la plage de Suscinio à Sarzeau,Ramassage,,,,2024-02-25,"Mer - Océan/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Bretagne,Morbihan,2,Suscinio,56370,Les Mains Dans Le Sable,275,-2.7379131317139,47.504720378376
3017,Mobilisation écocitoyenneNettoyages de plages,Ramassage,,Près de la cale,,2024-02-16,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Bretagne,Morbihan,2,Groix,56590,Collectif Grek Nature et Patrimoine,565,-3.456916809082,47.636065541784
3016,Collecte de déchets sur la plage de l'Embellie - La Tremblade (17),Ramassage,,,,2024-02-17,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Nouvelle Aquitaine,Charente-Maritime,2,La Tremblade,17390,"MALINE (Mouvement d'Actions pour le Littoral, la Nature et l'Environnement)",740,-1.2150192260742,45.791494463105
3015,Collecte Petracurbara,Ramassage,,,Plage de Pietracorbara,2024-02-07,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Corse,Haute-Corse,4,Pietracorbara,20233,Mare Vivu,63,9.4799673557281,42.839720597511
3014,Collecte Saleccia,Ramassage,,,La plage de Saleccia,2024-02-12,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Corse,Haute-Corse,4,Santo-Pietro-di-Tenda,20246,Mare Vivu,63,9.2082424166438,42.728148623838
3013,DCSMM - Plage de Napoléon,Ramassage,,,Plage de Napoléon,2024-01-27,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,4,Marseille,13006,MerTerre,145,5.3798103332247,43.292816043437
3012,Ramassage de déchets - Mars 2024,Ramassage,,,,2024-03-09,"Zone urbaine/Route, rue, place/Présent au sol (abandonné)",Pays de la Loire,Loire-Atlantique,2,Orvault,44700,EcoTerre Orvault,662,-1.5971596396412,47.253998976837
3011,DEPOLLUTION SAUVAGE,Ramassage,,,D219 / village de Peyrefite,2024-02-09,Zone naturelle ou rurale (hors littoral et montagne)/Sentier et chemin/Présent au sol (abandonné),Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1573355194632,42.457494798066
3010,DCSMM - Plage de Pomègues - îles du Frioul,Ramassage,,,Plage du Port de Pomègues,2024-01-13,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,4,Marseille,13001,MerTerre,145,5.3744459124937,43.295692642637
3009,Nettoyage Port des Barques / Saint Froult,Ramassage,,,,2024-02-11,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Nouvelle Aquitaine,Charente-Maritime,2,Port-des-Barques,17730,Les Insurgés des déchets,408,-1.0757857561111,45.93412774846
3008,"Nettoyage du littoral avec Ar Viltansoù, plages de Locmaria-Plouzané, janvier 2024",Ramassage,,,,2024-01-13,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Bretagne,Finistère,2,Locmaria-Plouzané,29280,Association Ar Viltansoù,397,-4.6740320921163,48.35450494023
3007,"Nettoyage du Littoral avec Ar Viltansoù, Cosquer février 2024",Ramassage,,,,2024-02-10,Littoral (terrestre)/Rocher et crique/Présent au sol (abandonné) et échoué,Bretagne,Finistère,2,Plougonvelin,29217,Association Ar Viltansoù,397,-4.6907366216237,48.354683593908
3006,Entraide Patrick chemin des vignes,Ramassage,,,Chemin des Vignes - Baraque dels Baques,2024-01-27,Littoral (terrestre)/Sentier et chemin/Présent au sol (abandonné),Occitanie,Pyrénées-Orientales,2,Cerbère,66290,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,3.1614446640015,42.445339075687
3005,Collège propre - Collège Gyptis,Ramassage,,,,2024-02-02,"Zone urbaine/Route, rue, place/Présent au sol (abandonné)",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,3,Marseille,13009,Le Naturoscope,10,5.4217427970798,43.26453324931
3004,Promenade en campagne,Ramassage,,,,2024-02-04,Zone naturelle ou rurale (hors littoral et montagne)/Sentier et chemin/Présent au sol (abandonné),Bretagne,Morbihan,1,Bignan,56500,RIEM-Réseau Initiatives des Eco-explorateurs de la Mer,221,-2.7757603581995,47.881549963862
3003,2024-01 COLLECTE DECHETS SAUVAGES - PLAGE REPUBLIQUE,Ramassage,,,République,2024-01-10,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné)",Région Sud Provence Alpes Côtes D'Azur,Var,2,Fréjus,83700,Planète Actions,348,6.7566293478012,43.424432970707
3002,Coach Regatta 2024,Ramassage,,,Club de Voile Pointe Rouge,2024-01-21,Littoral (terrestre)/Digue et ouvrage/Présent au sol (abandonné) et échoué,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13008,Green Sailing Generation,278,5.366542339325,43.245109460589
3000,Suivi MerTerre plage de la Maronaise. Décembre 2023.,Ramassage,,,Plage de la Maronaise,2023-12-20,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,4,Marseille,13008,MerTerre,145,5.3429095745469,43.214797898597
2999,Suivi MerTerre plage de la Maronaise. Novembre 2023.,Ramassage,,,Plage de la Maronaise,2023-11-08,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,4,Marseille,13008,MerTerre,145,5.3429210186277,43.214802981016
2998,Ramassage des sablettes 02-02-2024,Ramassage,Opération Wings of the Ocean - Kraken,,,2024-02-02,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Région Sud Provence Alpes Côtes D'Azur,Var,1,La Seyne-sur-Mer,83500,Wings of the Ocean,146,5.8952772611337,43.081467248385
2997,Ramassage de déchets - février 2024,Ramassage,,,,2024-02-10,"Zone urbaine/Route, rue, place/Présent au sol (abandonné)",Pays de la Loire,Loire-Atlantique,2,Orvault,44700,EcoTerre Orvault,662,-1.5921462433971,47.261803343378
2996,Nettoyage de plage / de littoral à Penthièvre,Ramassage,,,,2024-02-11,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Bretagne,Morbihan,2,Saint-Pierre-Quiberon,56510,Les Mains Dans Le Sable,275,-3.1340968608856,47.547283249692
2995,collecte caractérisation de l'AME du Chay à Royan,Ramassage,,,,2024-01-15,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Nouvelle Aquitaine,Charente-Maritime,3,Royan,17200,Environat,108,-1.0424566268921,45.620278093553
2994,Collecte Déchets Marins Echoués Port Hyères,Ramassage,,,,2024-02-17,Littoral (terrestre)/Port/Echoué,Région Sud Provence Alpes Côtes D'Azur,Var,3,Hyères,83400,Explore & Preserve,14,6.160089969635,43.085658308916
2993,Ramassage de Déchets Lycée A. Artaud,Ramassage,,,Tronçon des Bengalis (le Jarret),2024-01-25,Cours d'eau/Berge naturelle (hors plage)/Présent au sol (abandonné) et échoué,Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13013,Lycée Artaud,428,5.4344526528985,43.331505336052
2992,Rivières Propres,Ramassage,Rivières Propres,,,2023-10-04,Zone urbaine/Parc urbain - Jardin public/Présent au sol (abandonné),Région Sud Provence Alpes Côtes D'Azur,Bouches-du-Rhône,2,Marseille,13008,Association culturelle et sportive du Lycée des Calanques,637,5.3793150186539,43.261864898591
2991,Collecte ferringule,Ramassage,,,La plage de Farinole,2024-01-26,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Corse,Haute-Corse,4,Farinole,20253,Mare Vivu,63,9.3436618739842,42.733195945557
2990,Collecte La Roya,Ramassage,,,plage de la Roya,2024-01-19,"Littoral (terrestre)/Plage (sable, galets, gravillons)/Présent au sol (abandonné) et échoué",Corse,Haute-Corse,4,Saint-Florent,20217,Mare Vivu,63,9.2857475289929,42.675354630342
