ID,NOM,TYPES,DATE_CREATION,STATUT_PUBLICATION,URL,REGION,VILLE,CODE_POSTAL,STRUCTURES_ADOPTANTES_NOM,STRUCTURES_ADOPTANTES_ID,LATITUDE,LONGITUDE,GEOMETRIE,LINEAIRE,SURFACE,NB_RELEVE,NB_EVENEMENT,DATE_DERNIER_EVENEMENT
35,Hippodrome Pont de Vivaux,,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/hippodrome-pont-de-vivaux-13010-marseille-10e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13010,EPAGE HuCA,251,43.280092975959,5.4178234969892,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.415889,43.279287],[5.416383,43.279595],[5.417268,43.279927],[5.417692,43.280095],[5.418154,43.280349],[5.418792,43.280638],[5.419093,43.280755],[5.419678,43.280958],[5.419758,43.280876],[5.419388,43.280732],[5.41912,43.280693],[5.418395,43.280388],[5.417848,43.280103],[5.417043,43.279767],[5.416496,43.279556],[5.415938,43.279228],[5.415889,43.279287]]]}}]}",0,2860.083723226,3,3,2022/11/02
34,Clinique Monticelli,,2020/05/25,non publié,http://www.zero-dechet-sauvage.org/spots/clinique-monticelli-13008-marseille-8e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13009,,,43.267710117636,5.3961745146664,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.39649,43.267683],[5.396303,43.267761],[5.394903,43.267945],[5.394297,43.267921],[5.394372,43.267698],[5.395026,43.267734],[5.396084,43.267554],[5.396492,43.267488],[5.396829,43.267468],[5.397607,43.267632],[5.398052,43.267831],[5.397966,43.267952],[5.39736,43.267722],[5.396781,43.267675],[5.39649,43.267683]]]}}]}",0,6705.4852556836,0,0,
33,Collège Louise Michel,,2020/05/25,non publié,http://www.zero-dechet-sauvage.org/spots/college-louise-michel-13010-marseille-10e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13010,,,43.275305115972,5.4098240145376,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.409323,43.27546],[5.409194,43.275405],[5.409468,43.27501],[5.410229,43.275178],[5.410454,43.275378],[5.410122,43.2756],[5.409323,43.27546]]]}}]}",0,4066.0663982393,0,0,
32,Résidence Plein Ciel,,2020/05/25,non publié,http://www.zero-dechet-sauvage.org/spots/residence-plein-ciel-13011-marseille-11e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13011,,,43.286483888791,5.438395986021,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.438007,43.286843],[5.438656,43.287046],[5.438785,43.28705],[5.438602,43.286512],[5.438474,43.285918],[5.438275,43.285918],[5.438479,43.286718],[5.438168,43.286547],[5.438007,43.286843]]]}}]}",0,3160.0607100382,0,0,
31,Promenade des lombards,,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/promenade-des-lombards-13260-cassis,Provence-Alpes-Côte d'Azur,Cassis,13260,,,43.209875532201,5.5419250041334,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.539458,43.209211],[5.54052,43.209751],[5.541614,43.210157],[5.542386,43.210196],[5.543201,43.210274],[5.543738,43.2104],[5.54422,43.21054],[5.544392,43.210493],[5.543459,43.210298],[5.542708,43.210048],[5.541968,43.210102],[5.541185,43.209977],[5.54081,43.209813],[5.540209,43.209516],[5.539683,43.209266],[5.539458,43.209211]]]}}]}",0,3341.4359688952,0,0,
30,Plage de la grande mer,,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/plage-de-la-grande-mer-13260-cassis,Provence-Alpes-Côte d'Azur,Cassis,13260,,,43.212596476682,5.537134997006,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.535778,43.213019],[5.537022,43.213261],[5.537795,43.213113],[5.538224,43.212894],[5.538385,43.212605],[5.538492,43.212089],[5.538481,43.211932],[5.538213,43.212034],[5.538299,43.21244],[5.536926,43.213027],[5.536143,43.212996],[5.535778,43.213019]]]}}]}",0,7062.5844792022,0,0,
29,Plage du Corton,,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/plage-du-corton-13260-cassis,Provence-Alpes-Côte d'Azur,Cassis,13260,,,43.210188616108,5.545251514909,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.546088,43.209633],[5.54612,43.210102],[5.545037,43.210744],[5.544554,43.210744],[5.544383,43.210595],[5.544779,43.210665],[5.545434,43.210415],[5.54582,43.210188],[5.545991,43.209844],[5.546088,43.209633]]]}}]}",0,2160.9430949415,0,0,
28,Port de l'escalette,,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/port-de-l-escalette-13008-marseille-8e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13008,,,43.225245564068,5.3477235079321,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.347214,43.225306],[5.347648,43.225314],[5.348281,43.22547],[5.348394,43.225263],[5.348077,43.225021],[5.347418,43.225032],[5.347053,43.225048],[5.347814,43.225157],[5.348168,43.225161],[5.348061,43.225384],[5.347761,43.225251],[5.347418,43.225224],[5.347214,43.225306]]]}}]}",0,1998.9134745245,0,0,
27,Calanque d'En Vau,Collectivité et Gestionnaire,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/calanque-d-en-vau-13009-marseille-9e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13009,ONF,2,43.202283063709,5.4978515717911,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.497251,43.202525],[5.498045,43.201954],[5.498452,43.202321],[5.498356,43.202462],[5.497358,43.202611],[5.497251,43.202525]]]}}]}",0,3501.7632457981,24,25,2023/09/15
26,Calanque du Cuivre,Éducatif,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/calanque-des-cuivres-13007-marseille-7e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13007,,,43.280976132523,5.3470665163793,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.34819,43.280451],[5.34804,43.280279],[5.347739,43.280384],[5.347772,43.28049],[5.347547,43.280373],[5.3473,43.280541],[5.347321,43.280791],[5.347128,43.280853],[5.347069,43.280751],[5.347021,43.280857],[5.347074,43.280915],[5.346946,43.280982],[5.346812,43.280974],[5.346651,43.280869],[5.346485,43.280912],[5.346522,43.281001],[5.346318,43.281115],[5.346029,43.281072],[5.345948,43.281259],[5.346147,43.281306],[5.346179,43.281454],[5.345943,43.28154],[5.346013,43.281673],[5.346125,43.281591],[5.346254,43.28154],[5.346361,43.281392],[5.346345,43.281333],[5.346683,43.281025],[5.347026,43.281064],[5.34738,43.280849],[5.34752,43.280646],[5.347675,43.28056],[5.347847,43.280544],[5.34819,43.280451]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[5.348118,43.280378],[5.34778,43.280479],[5.347474,43.28062],[5.347351,43.280804],[5.347206,43.280893],[5.347023,43.281018],[5.346626,43.280956],[5.346594,43.28103],[5.346304,43.281202],[5.346235,43.281428],[5.346122,43.281557]]}}]}",232.1032374282,4187.7587714015,0,2,2023/01/12
